"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"ranchi","jharkhand","Tikotoli","364.0","374175.0",951,472,479,490,280,210,363,214,149,"8","2","2","3","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Maltoli","364.0","374176.0",607,310,297,338,197,141,320,177,143,"7","2","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Mesal","364.0","374178.0",958,489,469,557,322,235,275,223,52,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sursa","364.0","374179.0",2749,1387,1362,1521,842,679,1022,671,351,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Murma","364.0","374180.0",2670,1364,1306,1605,904,701,968,707,261,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kandri","364.0","374181.0",819,414,405,557,308,249,239,165,74,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Karkaria","364.0","374182.0",1912,987,925,1086,640,446,947,493,454,"9","3","2","1","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Pungi","364.0","374183.0",2151,1050,1101,1242,679,563,988,563,425,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kanjiya","364.0","374184.0",3470,1740,1730,2128,1204,924,1521,923,598,"6","1","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Banjhila","364.0","374186.0",2856,1418,1438,1412,814,598,1267,662,605,"6","2","2","1","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Murjuli","364.0","374187.0",1371,682,689,790,453,337,698,353,345,"6","1","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sargaon","364.0","374188.0",1133,561,572,563,322,241,459,223,236,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Gurgurjari","364.0","374189.0",2461,1253,1208,1363,815,548,1409,746,663,"7","2","1","3","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Bansjari","364.0","374190.0",1524,743,781,833,459,374,880,449,431,"5","1","1","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Mahuajari","364.0","374191.0",1460,759,701,881,519,362,957,493,464,"9","3","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Darjijari","364.0","374192.0",1294,637,657,689,382,307,600,341,259,"6","2","1","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bishakhatanga","364.0","374194.0",3293,1615,1678,1912,1063,849,1316,732,584,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Haril","364.0","374195.0",1729,855,874,919,523,396,373,268,105,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
