"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"jamui","bihar","Tola Hardia","238.0","259013.0",132,63,69,23,11,12,69,35,34,"6","1","1","1","3","5.0","2.0","1.0","1.0","1.0"
"jamui","bihar","Tola Dahua","238.0","259014.0",159,82,77,29,12,17,49,40,9,"4","1","1","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Ghorparan","238.0","259018.0",239,104,135,95,56,39,41,40,1,"5","1","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Patua","238.0","259019.0",159,79,80,22,9,13,48,37,11,"4","1","1","1","1","5.0","2.0","1.0","1.0","1.0"
"jamui","bihar","Tola Amjhari","238.0","259020.0",24,11,13,3,3,0,9,6,3,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Kanaudi","238.0","259022.0",3383,1761,1622,1109,835,274,1299,822,477,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Khurandadhorari","238.0","259023.0",2926,1519,1407,1066,751,315,1093,710,383,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Khuranda","238.0","259024.0",2456,1298,1158,935,655,280,1033,621,412,"7","1","2","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Gopalmaran","238.0","259025.0",460,245,215,162,107,55,211,123,88,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Bangawan","238.0","259026.0",757,402,355,333,195,138,274,212,62,"4","1","1","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Tola Lilabaran","238.0","259027.0",877,450,427,361,270,91,273,210,63,"5","1","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Tithi  Chak","238.0","259029.0",357,186,171,92,61,31,102,101,1,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Tilauna","238.0","259030.0",563,295,268,217,147,70,278,153,125,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Bastiyadih","238.0","259031.0",395,198,197,202,127,75,121,77,44,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Bathnabaran","238.0","259033.0",1429,702,727,450,305,145,369,346,23,"5","2","1","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Ghontari","238.0","259034.0",311,157,154,85,44,41,167,87,80,"4","1","1","1","1","7.0","1.0","2.0","3.0","1.0"
"jamui","bihar","Tola Damgitar","238.0","259036.0",429,232,197,40,32,8,129,128,1,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Nagwe","238.0","259037.0",1989,1040,949,890,630,260,856,501,355,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Godaia","238.0","259039.0",1695,878,817,900,600,300,761,437,324,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Pandua","238.0","259040.0",52,24,28,24,15,9,8,8,0,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Siantanr","238.0","259042.0",1660,869,791,784,508,276,619,374,245,"5","1","2","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Tola Pararia","238.0","259045.0",514,264,250,152,99,53,254,152,102,"7","1","2","3","1","7.0","1.0","2.0","3.0","1.0"
"jamui","bihar","Tola Telwabazar","238.0","259046.0",2441,1267,1174,1745,999,746,724,644,80,"9","1","2","3","3","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Dhonrari","238.0","259050.0",715,398,317,319,217,102,193,191,2,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Chiraiya","238.0","259051.0",1601,842,759,838,517,321,558,400,158,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Gadi Telwa","238.0","259052.0",1702,890,812,815,535,280,644,429,215,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Telwa","238.0","259054.0",567,290,277,183,106,77,187,144,43,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Burhiabari","238.0","259055.0",668,345,323,279,186,93,180,172,8,"5","1","1","2","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Pathal Chapti","238.0","259056.0",518,285,233,256,163,93,143,131,12,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Maura","238.0","259059.0",7163,3753,3410,3225,2139,1086,3114,1785,1329,"6","1","1","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Gangra","238.0","259060.0",7680,4051,3629,3332,2106,1226,3017,1874,1143,"7","2","1","3","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Sansarpur","238.0","259061.0",1060,558,502,342,229,113,393,284,109,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Banjhulia","238.0","259063.0",939,485,454,570,352,218,435,237,198,"5","2","1","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Bandhaura","238.0","259065.0",1832,998,834,926,634,292,831,511,320,"6","1","2","2","1","6.0","2.0","1.0","2.0","1.0"
"jamui","bihar","Dhobghat","238.0","259067.0",2756,1510,1246,1589,980,609,1185,762,423,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Simaria","238.0","259068.0",617,329,288,302,178,124,298,199,99,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Kolhua","238.0","259069.0",2930,1543,1387,1633,1033,600,914,709,205,"7","2","2","2","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Kumardih","238.0","259070.0",1471,755,716,907,523,384,612,394,218,"7","2","2","2","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Mahuli","238.0","259072.0",2961,1547,1414,1547,972,575,1452,846,606,"6","2","1","2","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Sewa","238.0","259073.0",9151,4888,4263,4995,3186,1809,3700,2267,1433,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Ratanpur","238.0","259074.0",10968,5687,5281,6215,3782,2433,3935,2741,1194,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Kundhur","238.0","259075.0",3519,1812,1707,1763,1037,726,1551,935,616,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Nayagaon","238.0","259076.0",1268,689,579,691,457,234,321,310,11,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Genadih","238.0","259077.0",2813,1464,1349,1626,977,649,1075,687,388,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Singarpur","238.0","259080.0",2331,1243,1088,1143,693,450,741,608,133,"7","2","2","2","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Ballopur","238.0","259081.0",1490,761,729,630,407,223,396,375,21,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Naudiha","238.0","259082.0",2281,1205,1076,1457,816,641,768,563,205,"8","2","2","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Amari","238.0","259085.0",3370,1767,1603,1703,1114,589,1341,854,487,"8","2","2","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Khutauna","238.0","259086.0",1342,721,621,871,545,326,660,356,304,"5","1","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Dharampur","238.0","259087.0",1792,935,857,957,571,386,676,466,210,"7","1","2","3","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Kharui","238.0","259089.0",1441,740,701,723,433,290,310,299,11,"5","1","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Dumarkola","238.0","259090.0",3775,2024,1751,1931,1168,763,1521,1014,507,"5","1","2","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Kashmir","238.0","259091.0",2997,1560,1437,1124,754,370,857,761,96,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Kasbagidhaur","238.0","259092.0",212,104,108,27,18,9,55,55,0,"5","2","1","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Ghanberia","238.0","259093.0",3625,1964,1661,2473,1423,1050,1404,994,410,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
